ID_NUMBER,DATA_HORA,COR,NUMERO_DA_BOLA
G17zJzPjrZ,2023-02-21 00:00:00,Vermelho,6
ylLzgzOb1G,2023-02-21 00:00:00,Vermelho,2
M19X6Xx7rA,2023-02-21 00:00:00,Vermelho,3
mlN6d67blv,2023-02-21 00:00:00,Preto,13
dlEaeavMlv,2023-02-21 00:00:00,Vermelho,5
qlPeVe9Rrz,2023-02-21 00:00:00,Preto,9
V1eK6KMelo,2023-02-21 00:00:00,Vermelho,1
z1xQOQM4kp,2023-02-21 00:00:00,Preto,11
5k0LqL48kY,2023-02-21 00:00:00,Vermelho,5
Rl8XjXYXlK,2023-02-21 00:00:00,Preto,14
V1qoVopXlB,2023-02-21 00:00:00,Preto,9
erWEgEOgkX,2023-02-21 00:00:00,Vermelho,2
8r22w2vNrb,2023-02-21 00:00:00,Vermelho,1
8kGbNbWm1Z,2023-02-21 00:00:00,Vermelho,6
V1anwn0Qke,2023-02-21 00:00:00,Vermelho,5
blRLaLym1O,2023-02-21 00:00:00,Preto,11
Kl5azayQl9,2023-02-21 00:00:00,Branco,0
2l4GWGAvkn,2023-02-21 00:00:00,Vermelho,7
LknDLDAXr3,2023-02-21 00:00:00,Preto,13
RlvYaY7Jkj,2023-02-21 00:00:00,Preto,11
4lQ7E7Ax1n,2023-02-21 00:00:00,Preto,8
okgVoVaA1y,2023-02-21 00:00:00,Preto,8
J1mvJvQ6kj,2023-02-21 00:00:00,Vermelho,7
w1DaEa0mkE,2023-02-21 00:00:00,Preto,14
5rVXoXdOkK,2023-02-21 00:00:00,Preto,14
O1BROReW1K,2023-02-21 00:00:00,Preto,8
ekj6E64Nk9,2023-02-21 00:00:00,Vermelho,1
ekj6E64Nk9,2023-02-21 00:00:00,Vermelho,1
Arwd0dLD1z,2023-02-21 00:00:00,Vermelho,2
J1oVJVyOrd,2023-02-21 00:00:00,Vermelho,5
V16G5Gb7kB,2023-02-21 00:00:00,Preto,8
6rXBLBKRkO,2023-02-21 00:00:00,Vermelho,2
DlZ4g4LO1j,2023-02-21 00:00:00,Vermelho,2
YrJ3o3a01K,2023-02-21 00:00:00,Preto,8
xrMa5az0rQ,2023-02-21 00:00:00,Preto,11
Kl3XGXQyrN,2023-02-21 00:00:00,Preto,9
plzXYXEO1n,2023-02-21 00:00:00,Vermelho,7
AlAmqmPRlG,2023-02-21 00:00:00,Vermelho,5
EryVZVNN1j,2023-02-21 00:00:00,Preto,11
RkbWYW8wlL,2023-02-21 00:00:00,Vermelho,2
R1p2m2bal5,2023-02-21 00:00:00,Preto,9
elYnzn7GrL,2023-02-21 00:00:00,Preto,10
RlvYanAQkj,2023-02-21 00:00:00,Preto,13
4lQ7Eg6P1n,2023-02-21 00:00:00,Preto,10
okgVo56p1y,2023-02-21 00:00:00,Preto,12
J1mvJgVDkj,2023-02-21 00:00:00,Preto,14
w1DaE7QYkE,2023-02-21 00:00:00,Branco,0
5rVXom4JkK,2023-02-21 00:00:00,Vermelho,1
O1BROQEZ1K,2023-02-21 00:00:00,Preto,14
ekj6Ege3k9,2023-02-21 00:00:00,Preto,10
Arwd0zyY1z,2023-02-21 00:00:00,Branco,0
J1oVJQoerd,2023-02-21 00:00:00,Vermelho,6
V16G5wzXkB,2023-02-21 00:00:00,Vermelho,1
6rXBLw4ykO,2023-02-21 00:00:00,Preto,12
DlZ4gKW71j,2023-02-21 00:00:00,Preto,13
YrJ3oyzd1K,2023-02-21 00:00:00,Vermelho,5
xrMa5Y8arQ,2023-02-21 00:00:00,Preto,12
Kl3XGD2DrN,2023-02-21 00:00:00,Preto,8
plzXYnAY1n,2023-02-21 00:00:00,Vermelho,2
AlAmq6adlG,2023-02-21 00:00:00,Preto,12
EryVZ8441j,2023-02-21 00:00:00,Preto,10
RkbWYvGnlL,2023-02-21 00:00:00,Preto,12
R1p2mV0Dl5,2023-02-21 00:00:00,Vermelho,2
elYnz5g9rL,2023-02-21 00:00:00,Vermelho,5
WldVmg8o13,2023-02-21 00:00:00,Branco,0
XlO560OP1O,2023-02-21 00:00:00,Vermelho,4
9rKbOLWxl6,2023-02-21 00:00:00,Vermelho,1
G17zJDgorZ,2023-02-21 00:00:00,Preto,11
ylLzg9o01G,2023-02-21 00:00:00,Vermelho,3
M19X6DworA,2023-02-21 00:00:00,Preto,14
mlN6dLD5lv,2023-02-21 00:00:00,Branco,0
dlEaeAqwlv,2023-02-21 00:00:00,Preto,9
qlPeVo6grz,2023-02-21 00:00:00,Vermelho,1
V1eK6g5Olo,2023-02-21 00:00:00,Preto,11
z1xQOZVgkp,2023-02-21 00:00:00,Preto,12
5k0LqJQ3kY,2023-02-21 00:00:00,Branco,0
Rl8Xjog9lK,2023-02-21 00:00:00,Vermelho,1
V1qoVXJvlB,2023-02-21 00:00:00,Vermelho,2
erWEg57pkX,2023-02-21 00:00:00,Branco,0
8r22wX6Jrb,2023-02-21 00:00:00,Preto,9
8kGbNgm91Z,2023-02-21 00:00:00,Branco,0
V1anwz4Zke,2023-02-21 00:00:00,Vermelho,1
blRLag521O,2023-02-21 00:00:00,Vermelho,5
Kl5azXgNl9,2023-02-21 00:00:00,Branco,0
2l4GWPgAkn,2023-02-21 00:00:00,Preto,13
LknDL0Qbr3,2023-02-21 00:00:00,Preto,13
RlvYanmQkj,2023-02-21 00:00:00,Vermelho,4
4lQ7EgDP1n,2023-02-21 00:00:00,Vermelho,3
okgVo5Lp1y,2023-02-21 00:00:00,Preto,12
J1mvJg7Dkj,2023-02-21 00:00:00,Preto,9
w1DaE7jYkE,2023-02-21 00:00:00,Preto,10
5rVXomDJkK,2023-02-21 00:00:00,Preto,13
O1BROQjZ1K,2023-02-21 00:00:00,Branco,0
ekj6EgD3k9,2023-02-21 00:00:00,Preto,9
Arwd0zmY1z,2023-02-21 00:00:00,Preto,13
J1oVJQ2erd,2023-02-21 00:00:00,Vermelho,1
V16G5wgXkB,2023-02-21 00:00:00,Preto,13
6rXBLwvykO,2023-02-21 00:00:00,Vermelho,4
DlZ4gK571j,2023-02-21 00:00:00,Preto,14
YrJ3oyRd1K,2023-02-21 00:00:00,Preto,9
xrMa5YGarQ,2023-02-21 00:00:00,Preto,13
Kl3XGDMDrN,2023-02-21 00:00:00,Preto,8
plzXYn7Y1n,2023-02-21 00:00:00,Vermelho,3
AlAmq6NdlG,2023-02-21 00:00:00,Preto,12
EryVZ8o41j,2023-02-21 00:00:00,Vermelho,5
RkbWYvnnlL,2023-02-21 00:00:00,Preto,10
R1p2mVnDl5,2023-02-21 00:00:00,Vermelho,3
elYnz5v9rL,2023-02-21 00:00:00,Branco,0
WldVmgGo13,2023-02-21 00:00:00,Preto,11
XlO5609P1O,2023-02-21 00:00:00,Preto,13
9rKbOLExl6,2023-02-21 00:00:00,Vermelho,7
G17zJDRorZ,2023-02-21 00:00:00,Preto,9
ylLzg9K01G,2023-02-21 00:00:00,Vermelho,4
M19X6DvorA,2023-02-21 00:00:00,Preto,13
mlN6dLE5lv,2023-02-21 00:00:00,Preto,8
AlAmq6NwlG,2023-02-21 00:00:00,Vermelho,7
EryVZ8oD1j,2023-02-21 00:00:00,Vermelho,5
RkbWYvnplL,2023-02-21 00:00:00,Preto,13
R1p2mVngl5,2023-02-21 00:00:00,Preto,10
elYnz5vYrL,2023-02-21 00:00:00,Preto,13
WldVmgGE13,2023-02-21 00:00:00,Vermelho,6
XlO5609z1O,2023-02-21 00:00:00,Vermelho,4
9rKbOLEZl6,2023-02-21 00:00:00,Preto,8
G17zJDRBrZ,2023-02-21 00:00:00,Preto,12
ylLzg9Kx1G,2023-02-21 00:00:00,Preto,14
M19X6DvKrA,2023-02-21 00:00:00,Preto,11
mlN6dLE0lv,2023-02-21 00:00:00,Vermelho,7
dlEaeA3vlv,2023-02-21 00:00:00,Vermelho,7
qlPeVo8Qrz,2023-02-21 00:00:00,Preto,10
V1eK6gAjlo,2023-02-21 00:00:00,Preto,9
z1xQOZ8mkp,2023-02-21 00:00:00,Preto,14
5k0LqJaEkY,2023-02-21 00:00:00,Preto,10
Rl8Xjo8alK,2023-02-21 00:00:00,Preto,12
V1qoVXaylB,2023-02-21 00:00:00,Branco,0
erWEg5YRkX,2023-02-21 00:00:00,Vermelho,4
8r22wXQgrb,2023-02-21 00:00:00,Preto,11
8kGbNg5Z1Z,2023-02-21 00:00:00,Vermelho,4
V1anwzQ3ke,2023-02-21 00:00:00,Vermelho,7
blRLagWO1O,2023-02-21 00:00:00,Vermelho,1
Kl5azXDol9,2023-02-21 00:00:00,Vermelho,3
2l4GWPaokn,2023-02-21 00:00:00,Preto,12
LknDL0ZRr3,2023-02-21 00:00:00,Vermelho,4
RlvYanxGkj,2023-02-21 00:00:00,Vermelho,6
4lQ7Egmw1n,2023-02-21 00:00:00,Vermelho,1
